decision_id,solution_id,decision_date,decision_text,rationale,risk,status,made_by
DEC001,SOL001,2024-07-15,Adopt Azure Functions (serverless) over Azure App Service for the calculation engine,Serverless provides cost-efficient scaling for variable broker calculation load. No persistent state required.,Low — Microsoft-managed scaling,Approved,Alex Rivera
DEC002,SOL001,2024-07-15,Azure SQL over Cosmos DB for rules storage,Credit policy rules are relational and structured. SQL provides ACID guarantees needed for policy enforcement. Cosmos DB overhead not justified.,Low,Approved,Alex Rivera
DEC003,SOL002,2024-05-20,Azure Entra External ID as CDR-compliant authorisation server,"Entra supports OIDC, FAPI 1.0 Advanced, PAR, DCR natively. Avoids build of custom auth server. Stays within M365 security perimeter.",Medium — FAPI configuration complexity,Approved,Jordan Patel
DEC004,SOL002,2024-05-20,Cosmos DB for consent store over SQL,"Consent arrangements have flexible schema and high read throughput requirements. Cosmos DB provides globally distributed, low-latency reads.",Low,Approved,Jordan Patel
DEC005,SOL003,2026-03-15,Dataverse as schema-first system of record replacing the legacy EA repository,"Dataverse is native to M365, has a relational model, native Power BI connector, and audit trail. Zero additional licensing. Legacy tool is SaaS with limited query capability.",Low — PoC required before full commitment,Approved,Sam Cowling
DEC006,SOL003,2026-03-15,Mermaid.js over Visio for diagram generation,"Mermaid markup is text-based and generatable by AI agents from schema fields. No file attachments, no diagram drift. Rendered natively in Power Pages and Confluence.",Low — diagrams are less rich than Visio but fit-for-purpose,Approved,Sam Cowling
DEC007,SOL005,2024-10-01,Snowflake on GCP over Azure Synapse,"Snowflake provides superior data sharing, cross-cloud querying, and separation of compute and storage. AA assessed three options — Snowflake scored highest on all guardrails.",Medium — GCP data residency requires CISO exception,Approved,Casey McQuaid
DEC008,SOL008,2026-01-15,Azure ML over third-party fraud ML platform,Azure ML keeps data within the bank Azure tenancy. Avoids data egress to external ML vendor. Integrates natively with Azure Functions scoring pipeline.,High — model governance framework must be established before production,Conditionally Approved,Taylor Barker
DEC009,SOL010,2024-03-01,MuleSoft Anypoint for CRM integration layer,Salesforce acquisition of MuleSoft provides native integration. Pre-built Temenos connector available.,High — MuleSoft not on approved components list. Under review for addition.,Conditionally Approved,Taylor Barker
DEC010,SOL006,2024-08-15,Single Entra External ID tenant for all brands (Coastal and Summit),Unified identity reduces operational overhead and enables cross-brand SSO. Brand separation maintained via custom domains and user flows.,Medium — brand isolation testing required before production,Approved,Taylor Barker
